timestamp_envio,timestamp_respuesta,exito,replica
1788283532.974104,1788283532.995579,1,C
1788283533.023937,1788283533.041665,1,C
1788283533.073882,1788283533.078021,1,A
1788283533.123693,1788283533.166316,1,C
1788283533.173687,1788283533.212560,1,A
1788283533.223671,1788283533.258722,1,C
1788283533.273834,1788283533.305887,1,A
1788283533.323847,1788283533.352118,1,A
1788283533.373775,1788283533.377043,1,A
1788283533.423725,1788283533.447204,1,A
1788283533.473737,1788283533.507446,1,A
1788283533.523844,1788283533.527611,1,A
1788283533.573901,1788283533.601430,1,C
1788283533.623890,1788283533.627490,1,A
1788283533.673745,1788283533.695658,1,C
1788283533.724159,1788283533.741230,1,C
1788283533.773919,1788283533.802535,1,A
1788283533.823805,1788283533.850459,1,A
1788283533.873964,1788283533.896668,1,A
1788283533.924112,1788283533.956816,1,A
1788283533.973977,1788283533.987666,1,C
1788283534.024122,1788283534.027944,1,A
1788283534.074073,1788283534.097687,1,A
1788283534.123730,1788283534.142519,1,A
1788283534.174051,1788283534.188653,1,C
1788283534.224055,1788283534.266589,1,C
1788283534.273925,1788283534.313138,1,A
1788283534.323718,1788283534.345356,1,C
1788283534.373963,1788283534.390643,1,C
1788283534.423698,1788283534.452289,1,C
1788283534.473686,1788283534.498537,1,C
1788283534.524111,1788283534.560720,1,A
1788283534.573644,1788283534.606560,1,A
1788283534.623674,1788283534.652612,1,C
1788283534.673899,1788283534.713388,1,A
1788283534.723753,1788283534.759301,1,C
1788283534.774229,1788283534.806015,1,A
1788283534.823690,1788283534.852322,1,C
1788283534.873738,1788283534.914183,1,A
1788283534.923707,1788283534.960960,1,A
1788283534.973811,1788283534.992191,1,C
1788283535.023727,1788283535.053585,1,C
1788283535.073751,1788283535.076815,1,A
1788283535.123639,1788283535.161904,1,C
