timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788884340.365,1788884340.568,1,A,8031,185.72
1788884340.365,1788884340.562,1,C,8031,178.99
1788884340.365,1788884340.556,1,A,8031,172.34
1788884340.365,1788884340.506,1,C,8031,121.28
1788884341.373,1788884341.412,1,A,7239,39.09
1788884341.373,1788884341.429,1,C,7239,54.16
1788884341.373,1788884341.500,1,A,7239,124.29
1788884341.373,1788884341.467,1,C,7239,90.14
1788884341.373,1788884341.433,1,A,7239,55.98
1788884341.373,1788884341.555,1,A,7239,176.24
1788884341.373,1788884341.511,1,C,7239,131.57
1788884341.373,1788884341.453,1,A,7239,72.90
1788884341.373,1788884341.549,1,C,7239,167.58
1788884341.373,1788884341.485,1,A,7239,102.44
1788884341.373,1788884341.463,1,A,7239,79.35
1788884341.373,1788884341.473,1,C,7239,88.65
1788884341.373,1788884341.503,1,A,7239,117.62
1788884341.373,1788884341.508,1,C,7239,122.04
1788884341.373,1788884341.477,1,A,7239,89.71
1788884341.373,1788884341.546,1,C,7239,158.10
1788884341.373,1788884341.542,1,C,7239,152.46
1788884341.373,1788884341.532,1,A,7239,142.10
1788884341.373,1788884341.553,1,C,7239,161.28
1788884341.373,1788884341.491,1,A,7239,98.78
1788884342.385,1788884342.432,1,C,1650,46.50
1788884342.385,1788884342.447,1,C,1650,59.73
1788884342.385,1788884342.522,1,A,1650,133.95
1788884342.385,1788884342.476,1,C,1650,86.88
1788884342.385,1788884342.451,1,A,1650,60.95
1788884342.385,1788884342.492,1,C,1650,100.75
1788884342.385,1788884342.498,1,A,1650,106.04
1788884342.385,1788884342.465,1,A,1650,71.11
1788884342.385,1788884342.528,1,A,1650,133.68
1788884342.385,1788884342.513,1,C,1650,117.47
1788884342.385,1788884342.571,1,C,1650,173.86
1788884342.385,1788884342.481,1,A,1650,83.51
1788884342.385,1788884342.569,1,A,1650,170.25
1788884342.385,1788884342.538,1,A,1650,138.38
1788884342.385,1788884342.507,1,A,1650,106.03
1788884342.385,1788884342.573,1,A,1650,170.94
1788884342.385,1788884342.563,1,C,1650,159.02
1788884342.385,1788884342.537,1,C,1650,131.94
1788884342.385,1788884342.558,1,A,1650,152.26
1788884342.385,1788884342.516,1,A,1650,109.72
1788884343.395,1788884343.451,1,C,5144,56.09
1788884343.395,1788884343.467,1,C,5144,70.84
1788884343.395,1788884343.611,1,A,5144,213.30
1788884343.395,1788884343.493,1,A,5144,94.49
1788884343.395,1788884343.474,1,C,5144,74.35
1788884343.395,1788884343.632,1,C,5144,230.23
1788884343.395,1788884343.614,1,A,5144,210.98
1788884343.395,1788884343.487,1,A,5144,82.52
1788884343.395,1788884343.615,1,C,5144,209.22
1788884343.395,1788884343.514,1,C,5144,106.59
1788884343.395,1788884343.567,1,A,5144,158.53
1788884343.395,1788884343.527,1,A,5144,116.48
1788884343.395,1788884343.504,1,A,5144,92.28
1788884343.395,1788884343.605,1,C,5144,191.73
1788884343.395,1788884343.547,1,A,5144,132.60
1788884343.395,1788884343.594,1,A,5144,178.08
1788884343.395,1788884343.535,1,A,5144,116.81
1788884343.395,1788884343.628,1,C,5144,208.56
1788884343.395,1788884343.634,1,C,5144,212.23
1788884343.395,1788884343.630,1,C,5144,205.96
1788884344.405,1788884344.463,1,C,2498,57.31
1788884344.405,1788884344.470,1,C,2498,63.01
1788884344.405,1788884344.599,1,C,2498,190.79
1788884344.405,1788884344.502,1,C,2498,92.26
1788884344.405,1788884344.476,1,A,2498,64.79
1788884344.405,1788884344.519,1,A,2498,105.72
1788884344.405,1788884344.580,1,A,2498,165.04
1788884344.405,1788884344.484,1,C,2498,67.56
1788884344.405,1788884344.548,1,C,2498,130.88
1788884344.405,1788884344.607,1,C,2498,187.53
1788884344.405,1788884344.533,1,C,2498,111.70
1788884344.405,1788884344.510,1,C,2498,87.62
1788884344.405,1788884344.523,1,C,2498,99.78
1788884344.405,1788884344.602,1,A,2498,177.48
1788884344.405,1788884344.545,1,C,2498,119.38
1788884344.405,1788884344.558,1,C,2498,130.87
1788884344.405,1788884344.608,1,C,2498,180.84
1788884344.405,1788884344.542,1,C,2498,113.30
1788884344.405,1788884344.553,1,A,2498,123.66
1788884344.405,1788884344.589,1,C,2498,157.24
1788884345.418,1788884345.658,1,C,7518,238.30
1788884345.418,1788884345.484,1,C,7518,62.62
1788884345.418,1788884345.499,1,A,7518,75.99
1788884345.418,1788884345.624,1,A,7518,199.82
